"","CÓDIGO MONTE SENDAS","Nº PARCELA","CÓDIGO ESPECIE","HD","DS1","DS2","DI1","DI2","DN1","DN2","COR1","COR2","LR1","NR","DR1","CRE1","CRE2","HT","HF","DCO1","DCO2","DN"
"247",112,290,32,NA,NA,NA,NA,NA,44,48,NA,NA,NA,NA,NA,NA,NA,6.5,1.5,7.3,6.9,46
"248",112,291,32,NA,NA,NA,NA,NA,26,27,NA,NA,NA,NA,NA,NA,NA,6,1,4.5,6.6,26.5
"249",112,292,32,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,3.5,NA,3.1,2.6,12.5
"250",112,293,32,NA,NA,NA,NA,NA,15,16,NA,NA,NA,NA,NA,NA,NA,6,1,3.7,5.7,15.5
"251",112,298,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,6.5,NA,3.4,3.3,17
"252",112,299,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,6.5,2,2.8,3.5,18
"253",112,300,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,3,0.5,2.6,2.5,11
"254",112,300,32,NA,NA,NA,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,4.5,0.5,2.5,2.2,12.5
"256",112,305,32,NA,NA,NA,NA,NA,16,18,NA,NA,NA,NA,NA,NA,NA,8.5,1.7,4.6,3.9,17
"257",112,305,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,6.5,1.2,2.4,2.9,9
"258",112,306,32,NA,NA,NA,NA,NA,20,19,NA,NA,NA,NA,NA,NA,NA,6.5,NA,4.6,5.5,19.5
"259",112,306,32,NA,NA,NA,NA,NA,40,34,NA,NA,NA,NA,NA,NA,NA,7.5,2,6.7,5.9,37
"260",112,311,32,NA,NA,NA,NA,NA,43,44,NA,NA,NA,NA,NA,NA,NA,7,NA,7.3,7.4,43.5
"261",112,316,32,NA,NA,NA,NA,NA,25,25,NA,NA,NA,NA,NA,NA,NA,7,0.6,5.6,5.5,25
"262",112,316,32,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,4,0.2,4,4.4,10.5
"263",112,319,32,NA,NA,NA,NA,NA,17,16,NA,NA,NA,NA,NA,NA,NA,5.5,NA,4.2,3.8,16.5
"264",112,324,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,5.5,3,3,3.5,16
"265",112,324,32,NA,NA,NA,NA,NA,14,15,NA,NA,NA,NA,NA,NA,NA,8.5,4,3.3,3.4,14.5
"267",112,325,32,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,8,2,5,4.3,21
"270",112,328,32,NA,NA,NA,NA,NA,25,24,NA,NA,NA,NA,NA,NA,NA,7.5,2,4,6.8,24.5
"271",112,332,32,NA,NA,NA,NA,NA,21,22,NA,NA,NA,NA,NA,NA,NA,7,NA,3.7,4.3,21.5
"275",112,339,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3.5,NA,3,2.6,9
"276",112,340,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,4,1.5,2.5,2.8,9
"277",112,341,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,4,0.1,3.2,4.1,9
"278",112,345,32,NA,NA,NA,NA,NA,32,33,NA,NA,NA,NA,NA,NA,NA,10.5,3,7.1,6.3,32.5
"279",112,345,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4,1.5,3.1,2.8,8
"280",112,346,32,NA,NA,NA,NA,NA,18,16,NA,NA,NA,NA,NA,NA,NA,5,0,3.7,4.8,17
"281",112,353,32,NA,NA,NA,NA,NA,22,22,NA,NA,NA,NA,NA,NA,NA,8,2,5.6,4.3,22
"282",112,353,32,NA,NA,NA,NA,NA,25,27,NA,NA,NA,NA,NA,NA,NA,9,2,4.2,4.6,26
"283",112,356,32,NA,NA,NA,NA,NA,20,19,NA,NA,NA,NA,NA,NA,NA,4,0.5,2.8,3.3,19.5
"284",112,359,32,NA,NA,NA,NA,NA,19,20,NA,NA,NA,NA,NA,NA,NA,6,0.5,4.5,4.5,19.5
"285",112,361,32,NA,NA,NA,NA,NA,65,65,NA,NA,NA,NA,NA,NA,NA,15,1,8.9,9.8,65
"286",112,361,32,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,3.5,0.5,1.9,2.1,11.5
"287",112,366,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,4,1,4.5,3.3,16
"288",112,367,32,NA,NA,NA,NA,NA,23,21,NA,NA,NA,NA,NA,NA,NA,7,1.9,3.6,4.8,22
"289",112,367,32,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,5,2,6,4.2,21
"290",112,370,32,NA,NA,NA,NA,NA,17,16,NA,NA,NA,NA,NA,NA,NA,6,1,3.8,3.2,16.5
"291",112,370,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4.5,1.3,2.7,2.5,10
"292",112,370,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,2.5,0.2,4.2,3.9,10
"297",112,376,32,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,4,0.5,2,2.4,8.5
"298",112,382,32,NA,NA,NA,NA,NA,20,24,NA,NA,NA,NA,NA,NA,NA,3,1.3,4.9,4.3,22
"299",112,384,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,5,2,3.7,2.8,8
"300",112,386,32,NA,NA,NA,NA,NA,40,39,NA,NA,NA,NA,NA,NA,NA,15.5,3.5,6.8,8.2,39.5
"301",112,387,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,4,NA,1.3,2.3,9
"302",112,395,32,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,4.5,NA,3.1,2.8,15
"303",112,396,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,4.5,2,3.5,3.5,16
"304",112,396,32,NA,NA,NA,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,5,NA,4.4,3.5,21
"305",112,397,32,NA,NA,NA,NA,NA,15,14,NA,NA,NA,NA,NA,NA,NA,4.5,1,3.1,3.4,14.5
"306",112,398,32,NA,NA,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,6,NA,5.4,5.6,21.5
"307",112,170,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,4,NA,3.8,3.3,11
"308",112,170,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,4.5,NA,3.3,4.2,13
"309",112,177,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,5.5,0.7,4.3,4.8,11
"310",112,184,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3.5,1,2.9,3.1,9
"311",112,184,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4,1,2.8,2.9,8
"312",112,400,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,5.5,1,3.6,6.3,18
"313",112,400,32,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,7.5,1.3,7.8,5.3,46.5
"314",112,405,32,NA,NA,NA,NA,NA,56,63,NA,NA,NA,NA,NA,NA,NA,13,5,7.1,5.9,59.5
"315",112,407,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,7,1.2,3.9,2.6,13
"316",112,407,32,NA,NA,NA,NA,NA,38,38,NA,NA,NA,NA,NA,NA,NA,11,3,7.5,5.3,38
"317",112,414,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,8,3,3.9,4.1,17
"319",112,218,32,NA,NA,NA,NA,NA,16,17,NA,NA,NA,NA,NA,NA,NA,4.5,NA,2.9,2.5,16.5
"320",112,238,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,4.5,1,3,4.2,17
"321",112,344,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,6,1,4,3.2,16
"322",112,347,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,5,1.7,2.9,3.2,12
"323",112,347,32,NA,NA,NA,NA,NA,41,41,NA,NA,NA,NA,NA,NA,NA,15.5,1.6,6.1,5,41
"324",112,350,32,NA,NA,NA,NA,NA,48,53,NA,NA,NA,NA,NA,NA,NA,11.5,3.5,10.1,7,50.5
"326",112,403,32,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,4,NA,3.1,3,10.5
"327",112,404,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,4,NA,3.5,2.7,9
"328",112,434,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,5.5,1.2,3.2,2.9,10
"329",112,436,32,NA,NA,NA,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,6.5,3,4.6,4.7,18
"330",112,444,32,NA,NA,NA,NA,NA,26,27,NA,NA,NA,NA,NA,NA,NA,5.5,NA,5.5,5,26.5
"331",112,449,32,NA,NA,NA,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA,4.5,1,3.5,3.2,10.5
"332",112,449,32,NA,NA,NA,NA,NA,35,42,NA,NA,NA,NA,NA,NA,NA,6,2,8.7,8.6,38.5
"333",112,458,32,NA,NA,NA,NA,NA,16,15,NA,NA,NA,NA,NA,NA,NA,6,NA,2.7,4.1,15.5
"334",112,459,32,NA,NA,NA,NA,NA,53,47,NA,NA,NA,NA,NA,NA,NA,16.5,4,4.5,6,50
"335",112,460,32,NA,NA,NA,NA,NA,25,29,NA,NA,NA,NA,NA,NA,NA,8,1.3,7.2,5.7,27
"336",112,463,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,4.5,0.4,4.1,3.2,10
"337",112,464,32,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,NA,7.5,0.3,3.6,2.9,19
"338",112,465,32,NA,NA,NA,NA,NA,26,27,NA,NA,NA,NA,NA,NA,NA,8.5,1.5,3.9,5.8,26.5
"339",112,466,32,NA,NA,NA,NA,NA,11,10,NA,NA,NA,NA,NA,NA,NA,4.5,1,2.8,2.5,10.5
"340",112,466,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,4,1.5,2.2,2.1,8
"341",112,466,32,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,4,1.5,3.2,3,8.5
"390",112,154,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,5,2,3.1,2.5,9
"393",112,156,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3.5,1.5,2.3,2.5,8
"396",112,424,32,NA,NA,NA,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,7,1.5,2.7,3.1,12.5
"397",112,424,32,NA,NA,NA,NA,NA,21,22,NA,NA,NA,NA,NA,NA,NA,9,1.5,4.2,5.4,21.5
"398",112,467,32,NA,NA,NA,NA,NA,29,27,NA,NA,NA,NA,NA,NA,NA,7.5,1,6.1,4.8,28
"399",112,467,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,3,NA,1.8,2.3,9
"400",112,468,32,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,3,1,2.4,2.6,8.5
"423",112,134,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,6.5,1.2,5.7,3.5,17
"424",112,135,32,NA,NA,NA,NA,NA,31,32,NA,NA,NA,NA,NA,NA,NA,8.5,1.5,5.6,6.2,31.5
"425",112,135,32,NA,NA,NA,NA,NA,19,18,NA,NA,NA,NA,NA,NA,NA,8,1,6.2,5.4,18.5
"427",112,234,32,NA,NA,NA,NA,NA,19,18,NA,NA,NA,NA,NA,NA,NA,6.5,0.3,3.8,4,18.5
"428",112,408,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,4,1.5,3.3,3.4,11
"429",112,416,32,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,4.5,NA,2.9,1.9,9.5
"430",112,432,32,NA,NA,NA,NA,NA,19,20,NA,NA,NA,NA,NA,NA,NA,4.5,0.5,3.2,3.8,19.5
"432",112,447,32,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,NA,NA,7.5,2.8,2.4,3.3,16
"433",112,448,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,4.5,1.8,4.2,3.2,11
